code,name,description,refreshed_at,from_date,to_date
130465,BNP Paribas Mutual Fund - BNP PARIBAS LIQUID FUND - REGULAR PLAN - WEEKLY DIVIDEND OPTION,ISIN Div Reinvestment: INF251K01NG9,2018-10-03 11:01:01,2016-08-30,2018-10-02
130466,UTI Mutual Fund - UTI FTIF Series XIX - IX (369 Days) - Flexi Div Option,ISIN Div Payout/ ISIN Growth: INF789FA1RY0<br><br>ISIN Div Reinvestment: INF789FA1RZ7,2017-12-27 20:02:18,2015-07-06,2015-07-06
130468,UTI Mutual Fund - UTI FTIF Series XIX - IX (369 Days) - Maturity Div Option,ISIN Div Payout/ ISIN Growth: INF789FA1RW4,2017-12-27 20:02:18,2016-08-30,2017-07-06
130469,UTI Mutual Fund - UTI FTIF Series XIX - IX (369 Days) - Maturity Div Option - Direct,ISIN Div Payout/ ISIN Growth: INF789FA1RO1,2017-12-27 20:02:18,2015-07-06,2015-07-06
130471,BNP Paribas Mutual Fund - BNP PARIBAS LIQUID FUND - REGULAR PLAN - MONTHLY DIVIDEND OPTION,ISIN Div Payout/ ISIN Growth: INF251K01NH7<br><br>ISIN Div Reinvestment: INF251K01NI5,2018-10-03 11:01:01,2016-08-30,2018-10-02
130472,BNP Paribas Mutual Fund - BNP PARIBAS LIQUID FUND - GROWTH OPTION,ISIN Div Payout/ ISIN Growth: INF251K01NJ3,2018-10-03 11:01:01,2016-08-30,2018-10-02
130473,BNP Paribas Mutual Fund - BNP PARIBAS LIQUID FUND - DAILY DIVIDEND OPTION,ISIN Div Reinvestment: INF251K01NK1,2018-10-03 11:01:01,2016-08-30,2018-10-02
130474,BNP Paribas Mutual Fund - BNP PARIBAS LIQUID FUND - WEEKLY DIVIDEND OPTION,ISIN Div Reinvestment: INF251K01NL9,2018-10-03 11:01:01,2016-08-30,2018-10-02
130476,BNP Paribas Mutual Fund - BNP PARIBAS LIQUID FUND - MONTHLY DIVIDEND OPTION,ISIN Div Payout/ ISIN Growth: INF251K01NM7<br><br>ISIN Div Reinvestment: INF251K01NN5,2018-10-03 11:01:01,2016-08-30,2018-10-02
130479,BNP Paribas Mutual Fund - BNP PARIBAS LIQUID FUND -- DIRECT PLAN - GROWTH OPTION,ISIN Div Payout/ ISIN Growth: INF251K01NO3,2018-10-03 11:01:01,2016-08-30,2018-10-02
130486,BNP Paribas Mutual Fund - BNP PARIBAS LIQUID FUND - DIRECT PLAN -- DAILY DIVIDEND OPTION,ISIN Div Reinvestment: INF251K01NP0,2018-10-03 11:01:01,2016-08-30,2018-10-02
130487,BNP Paribas Mutual Fund - BNP PARIBAS LIQUID FUND -- DIRECT PLAN - WEEKLY DIVIDEND OPTION,ISIN Div Reinvestment: INF251K01NQ8,2018-10-03 11:01:01,2016-08-30,2018-10-02
130489,BNP Paribas Mutual Fund - BNP PARIBAS LIQUID Fund - DIRECT PLAN - MONTHLY DIVIDEND OPTION,ISIN Div Payout/ ISIN Growth: INF251K01NR6<br><br>ISIN Div Reinvestment: INF251K01NS4,2018-10-03 11:01:01,2016-08-30,2018-10-02
130490,DSP Mutual Fund - DSP  Global Allocation Fund - Regular Plan - Dividend,ISIN Div Payout/ ISIN Growth: INF740K01Z35<br><br>ISIN Div Reinvestment: INF740K01Z43,2018-10-03 11:01:34,2016-08-29,2018-10-01
130491,DSP Mutual Fund - DSP  Global Allocation Fund - Direct Plan - Dividend,ISIN Div Payout/ ISIN Growth: INF740K01Z68<br><br>ISIN Div Reinvestment: INF740K01Z76,2018-10-03 11:01:34,2016-08-29,2018-10-01
130492,DSP Mutual Fund - DSP  Global Allocation Fund - Regular Plan - Growth,ISIN Div Payout/ ISIN Growth: INF740K01Z27,2018-10-03 11:01:34,2016-08-29,2018-10-01
130493,DSP Mutual Fund - DSP  Global Allocation Fund - Direct Plan - Growth,ISIN Div Payout/ ISIN Growth: INF740K01Z50,2018-10-03 11:01:34,2016-08-29,2018-10-01
